,Unnamed: 0,price,condition,district,max_floor,street,num_rooms,region,area,url,num_bathrooms,building_type,floor,ceiling_height
0,5546,130000,newly repaired,Center,4,Sayat Nova Ave ???,3,Yerevan,96,http://www.myrealty.am/en/item/28244/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3.2
1,2979,65000,good,Arabkir,5,Hr.Kochar St,3,Yerevan,78,http://www.myrealty.am/en/item/18029/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
2,2698,129000,good,Center,10,M.Khorenatsi St,3,Yerevan,90,http://www.myrealty.am/en/item/37797/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,3,2.8
3,4548,52000,newly repaired,Center,14,Argishti St,2,Yerevan,53,http://www.myrealty.am/en/item/36153/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,5,3.0
4,2982,65000,newly repaired,Center,12,Mashtots Ave,2,Yerevan,47,http://www.myrealty.am/en/item/17566/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,3,2.8
5,4556,97000,newly repaired,Center,10,Saryan St,2,Yerevan,71,http://www.myrealty.am/en/item/16710/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,2,2.8
6,3610,67000,newly repaired,Center,10,NarDos St,3,Yerevan,67,http://www.myrealty.am/en/item/21337/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
7,2844,68000,good,Arabkir,16,V.Papazyan St,4,Yerevan,107,http://www.myrealty.am/en/item/23790/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,16,2.8
8,718,105000,newly repaired,Arabkir,4,Aghbyur Serob St,3,Yerevan,110,http://www.myrealty.am/en/item/23304/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,3.2
9,5360,98000,zero condition,Center,5,Pushkin St,3,Yerevan,95,http://www.myrealty.am/en/item/31230/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.2
10,471,65000,newly repaired,Arabkir,6,Hakobyan St,2,Yerevan,47,http://www.myrealty.am/en/item/28068/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,6,3.0
11,5381,120000,newly repaired,Center,5,Paronyan St,3,Yerevan,91,http://www.myrealty.am/en/item/18451/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,2.8
12,443,43000,good,Arabkir,5,Baghramyan av(Arabkir),1,Yerevan,39,http://www.myrealty.am/en/item/11091/Apartment-for-sale-in-Yerevan,1,stone,2,2.8
13,1664,200000,newly repaired,Center,12,Sayat Nova Ave,3,Yerevan,100,http://www.myrealty.am/en/item/29544/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,5,2.8
14,4320,57000,good,Arabkir,14,V.Vagharshyan St,2,Yerevan,40,http://www.myrealty.am/en/item/8007/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,7,2.8
15,1705,95000,newly repaired,Arabkir,9,Komitas Ave,4,Yerevan,100,http://www.myrealty.am/en/item/36826/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,3.0
16,3706,78000,good,Arabkir,5,A. Khachatrian St,4,Yerevan,98,http://www.myrealty.am/en/item/23185/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,1,2.8
17,894,34000,good,Malatia-Sebastia,9,A. Babajanyan St,3,Yerevan,73,http://www.myrealty.am/en/item/37750/3-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,9,2.8
18,2652,85000,newly repaired,Center,10,Saryan St,2,Yerevan,71,http://www.myrealty.am/en/item/36863/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,6,2.8
19,3796,37500,good,Arabkir,5,Komitas Ave,2,Yerevan,44,http://www.myrealty.am/en/item/33404/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,1,2.8
20,5221,45000,newly repaired,Erebuni,9,Khaghagh Don St,3,Yerevan,87,http://www.myrealty.am/en/item/35274/3-senyakanoc-bnakaran-vacharq-Yerevan-Erebuni,1,panel,6,2.8
21,1474,41800,good,Center,9,Pushkin St,1,Yerevan,40,http://www.myrealty.am/en/item/36426/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
22,6729,85000,newly repaired,Center,16,Tsitsernakaberd Highway,2,Yerevan,84,http://www.myrealty.am/en/item/17922/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,5,3.0
